1,Massachusetts Institute of Technology (MIT),undefined,87.8
2,Princeton University,undefined,85.5
3,Stanford University,undefined,90.8
4,The University of Tokyo,undefined,70.9
5,California Institute of Technology,undefined,89.2
6,Harvard University,undefined,87.1
7,University of Chicago,undefined,87.4
8,University of California, Berkeley,undefined,85.9
9,Paris-Saclay University,undefined,76.2
10,PSL University,undefined,79.3
11,University of Cambridge,undefined,84.4
12,The University of Edinburgh,undefined,92.5
13,University of California, Santa Barbara,undefined,86.4
14,University of Colorado at Boulder,undefined,78.2
15,Sorbonne University,undefined,77.5
16,The University of Manchester,undefined,78.0
17,University of Washington,undefined,96.7
18,University of Geneva,undefined,87.6
19,Cornell University,undefined,85.6
20,University of Michigan-Ann Arbor,undefined,81.6
21,Columbia University,undefined,97.8
22,University of Maryland, College Park,undefined,86.4
23,University of Illinois at Urbana-Champaign,undefined,87.2
24,University of Oxford,undefined,80.6
25,Université libre de Bruxelles (ULB),undefined,90.8
26,Tsinghua University,undefined,75.2
27,University of Paris,undefined,87.8
28,The Australian National University,undefined,88.1
29,University of Munich,undefined,84.8
30,University of Science and Technology of China,undefined,67.4
31,ETH Zurich,undefined,79.8
31,Sapienza University of Rome,undefined,84.7
33,Nagoya University,undefined,65.2
34,University of California, Irvine,undefined,83.7
35,Peking University,undefined,71.1
36,Johns Hopkins University,undefined,81.0
37,University of Padua,undefined,88.0
38,Imperial College London,undefined,76.1
39,Université Grenoble Alpes,undefined,71.9
40,Kyoto University,undefined,65.9
41,University of Pennsylvania,undefined,86.1
42,Institut Polytechnique de Paris,undefined,75.9
43,Heidelberg University,undefined,87.5
44,University College London,undefined,81.2
45,Uppsala University,undefined,74.2
46,The Chinese University of Hong Kong,undefined,93.5
47,Brown University,undefined,83.7
48,University of Pisa,undefined,93.6
49,The Ohio State University - Columbus,undefined,85.0
50,University of Bologna,undefined,83.0
51-75,Aix Marseille University,undefined,74.6
51-75,Autonomous University of Madrid,undefined,80.6
51-75,Claude Bernard University Lyon 1,undefined,85.0
51-75,Moscow State University,undefined,65.2
51-75,Northwestern University,undefined,92.7
51-75,Radboud University Nijmegen,undefined,100.0
51-75,Seoul National University,undefined,74.3
51-75,Shanghai Jiao Tong University,undefined,67.0
51-75,Swiss Federal Institute of Technology Lausanne,undefined,78.1
51-75,The University of Glasgow,undefined,91.8
51-75,The University of Texas at Austin,undefined,79.6
51-75,University of Birmingham,undefined,97.6
51-75,University of Bonn,undefined,86.1
51-75,University of California, Los Angeles,undefined,77.0
51-75,University of Copenhagen,undefined,88.9
51-75,University of Genoa,undefined,95.5
51-75,University of Hamburg,undefined,87.3
51-75,University of Mainz,undefined,81.8
51-75,University of Minnesota, Twin Cities,undefined,85.4
51-75,University of Naples Federico II,undefined,89.9
51-75,University of Roma - Tor Vergata,undefined,92.8
51-75,University of Toronto,undefined,93.7
51-75,University of Waterloo,undefined,72.4
51-75,University of Wisconsin - Madison,undefined,80.4
51-75,University of Zurich,undefined,93.1
51-75,Yale University,undefined,87.2
76-100,Monash University,undefined,93.9
76-100,Nanjing University,undefined,66.9
76-100,Pennsylvania State University - University Park,undefined,86.4
76-100,RWTH Aachen University,undefined,79.6
76-100,Scuola Normale Superiore - Pisa,undefined,87.9
76-100,Stockholm University,undefined,86.7
76-100,Tel Aviv University,undefined,82.2
76-100,The University of Melbourne,undefined,90.8
76-100,University of Amsterdam,undefined,89.3
76-100,University of Barcelona,undefined,80.6
76-100,University of Bristol,undefined,80.3
76-100,University of British Columbia,undefined,83.1
76-100,University of California, San Diego,undefined,76.6
76-100,University of Florida,undefined,87.7
76-100,University of Groningen,undefined,82.9
76-100,University of Massachusetts Amherst,undefined,93.4
76-100,University of Perugia,undefined,100.0
76-100,University of Southampton,undefined,83.2
76-100,University of Trento,undefined,97.1
76-100,University of Turin,undefined,85.4
76-100,University of Valencia,undefined,84.4
76-100,University of Warsaw,undefined,89.1
76-100,University of Warwick,undefined,76.0
76-100,Weizmann Institute of Science,undefined,84.8
101-150,Autonomous University of Barcelona,undefined,80.2
101-150,Boston University,undefined,78.3
101-150,Carnegie Mellon University,undefined,86.2
101-150,Charles University in Prague,undefined,74.6
101-150,Duke University,undefined,84.2
101-150,Eotvos Lorand University,undefined,96.6
101-150,Georgia Institute of Technology,undefined,89.5
101-150,Indiana University Bloomington,undefined,84.6
101-150,Karlsruhe Institute of Technology (KIT),undefined,70.6
101-150,King's College London,undefined,100.0
101-150,KTH Royal Institute of Technology,undefined,68.3
101-150,Leiden University,undefined,84.5
101-150,Lund University,undefined,79.6
101-150,Michigan State University,undefined,78.4
101-150,Nanyang Technological University,undefined,77.3
101-150,National and Kapodistrian University of Athens,undefined,83.9
101-150,National University of Singapore,undefined,73.2
101-150,Novosibirsk State University,undefined,68.5
101-150,Purdue University - West Lafayette,undefined,73.1
101-150,Rice University,undefined,81.4
101-150,Rutgers, The State University of New Jersey - New Brunswick,undefined,73.9
101-150,Stony Brook University,undefined,82.7
101-150,Syracuse University,undefined,100.0
101-150,Technical University of Munich,undefined,71.9
101-150,Texas A&M University,undefined,73.0
101-150,The University of Adelaide,undefined,100.0
101-150,The University of Sheffield,undefined,91.5
101-150,TU Dresden,undefined,74.8
101-150,University College Dublin,undefined,89.7
101-150,University of Arizona,undefined,76.7
101-150,University of Bern,undefined,90.4
101-150,University of California, Davis,undefined,82.4
101-150,University of California, Riverside,undefined,80.8
101-150,University of California, Santa Cruz,undefined,91.7
101-150,University of Clermont Auvergne,undefined,84.7
101-150,University of Côte d'Azur,undefined,93.2
101-150,University of Innsbruck,undefined,82.9
101-150,University of Liverpool,undefined,80.0
101-150,University of Milan,undefined,82.4
101-150,University of Milano-Bicocca,undefined,78.7
101-150,University of Mississippi,undefined,100.0
101-150,University of Pittsburgh,undefined,85.6
101-150,University of Rochester,undefined,77.0
101-150,University of Sao Paulo,undefined,69.8
101-150,University of Savoy,undefined,96.2
101-150,University of Sussex,undefined,97.9
101-150,University of Sydney,undefined,80.0
101-150,University of Tennessee - Knoxville,undefined,79.5
101-150,Utrecht University,undefined,69.3
101-150,Vrije Universiteit Amsterdam,undefined,100.0
151-200,Beihang University,undefined,65.3
151-200,Bogazici University,undefined,82.1
151-200,Cardiff University,undefined,100.0
151-200,Durham University,undefined,77.5
151-200,Federal University of Rio de Janeiro,undefined,76.9
151-200,Florida State University,undefined,78.5
151-200,Fudan University,undefined,68.9
151-200,Gran Sasso Science Institute,undefined,100.0
151-200,Humboldt University of Berlin,undefined,78.0
151-200,International School for Advanced Studies,undefined,93.1
151-200,Iowa State University,undefined,73.5
151-200,Ivane Javakhishvili Tbilisi State University,undefined,84.5
151-200,Leibniz University Hannover,undefined,94.0
151-200,Louisiana State University - Baton Rouge,undefined,100.0
151-200,McGill University,undefined,80.1
151-200,Moscow Institute of Physics and Technology,undefined,64.0
151-200,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),undefined,67.3
151-200,National Taiwan University,undefined,68.5
151-200,National Tsing Hua University,undefined,83.3
151-200,New York University,undefined,82.1
151-200,Osaka University,undefined,60.5
151-200,Polytechnic University of Catalonia,undefined,75.7
151-200,Queen's University,undefined,64.7
151-200,Shandong University,undefined,65.7
151-200,Sun Yat-sen University,undefined,71.1
151-200,Technical University of Dortmund,undefined,81.2
151-200,Texas Tech University,undefined,98.6
151-200,The Hong Kong University of Science and Technology,undefined,81.9
151-200,Tohoku University,undefined,58.8
151-200,University of Bari,undefined,79.7
151-200,University of Basilicata,undefined,81.4
151-200,University of Cantabria,undefined,91.7
151-200,University of Ferrara,undefined,80.3
151-200,University of Goettingen,undefined,77.4
151-200,University of Helsinki,undefined,84.1
151-200,University of Iowa,undefined,79.9
151-200,University of Lisbon,undefined,72.0
151-200,University of Ljubljana,undefined,82.9
151-200,University of Notre Dame,undefined,74.3
151-200,University of Oregon,undefined,100.0
151-200,University of Oslo,undefined,79.5
151-200,University of Pavia,undefined,82.2
151-200,University of Siena,undefined,100.0
151-200,University of Strasbourg,undefined,75.7
151-200,University of Trieste,undefined,83.5
151-200,University of Urbino,undefined,100.0
151-200,University of Virginia,undefined,79.4
151-200,University of Wuerzburg,undefined,77.7
151-200,Vienna University of Technology,undefined,68.8
151-200,Wayne State University,undefined,79.7
151-200,Zhejiang University,undefined,63.8
201-300,Aalto University,undefined,70.0
201-300,Aarhus University,undefined,76.5
201-300,AGH University of Science and Technology,undefined,71.0
201-300,Belarusian State University,undefined,77.4
201-300,Brandeis University,undefined,97.5
201-300,Carleton University,undefined,93.5
201-300,Catholic University of Louvain,undefined,83.5
201-300,Central China Normal University,undefined,73.7
201-300,College of William and Mary,undefined,100.0
201-300,Czech Technical University in Prague,undefined,71.4
201-300,Georgian Technical University,undefined,87.8
201-300,Ghent University,undefined,73.9
201-300,Hanyang University,undefined,73.8
201-300,Huazhong University of Science and Technology,undefined,65.6
201-300,Istanbul Aydin University,undefined,90.9
201-300,Istanbul Bilgi University,undefined,82.2
201-300,King Abdulaziz University,undefined,79.5
201-300,Korea University,undefined,64.0
201-300,Lancaster University,undefined,77.7
201-300,Louisiana Technical University,undefined,92.4
201-300,McMaster University,undefined,57.5
201-300,Nagasaki Institute of Applied Science,undefined,91.4
201-300,Nankai University,undefined,73.8
201-300,National Autonomous University of Mexico,undefined,61.8
201-300,National Central University,undefined,69.8
201-300,National Technical University of Athens,undefined,78.5
201-300,Northeastern University (Boston),undefined,82.6
201-300,Northern Illinois University,undefined,93.5
201-300,Oklahoma State University,undefined,87.0
201-300,Palacký University Olomouc,undefined,84.1
201-300,Panjab University,undefined,74.7
201-300,Paul Sabatier University (Toulouse 3),undefined,72.4
201-300,Politecnico di Bari,undefined,87.7
201-300,Pontifical Catholic University of Chile,undefined,80.0
201-300,Queen Mary University of London,undefined,77.7
201-300,Roma Tre University,undefined,82.4
201-300,Royal Holloway, University of London,undefined,91.9
201-300,Soochow University (China),undefined,73.8
201-300,Southern Methodist University,undefined,88.8
201-300,Sungkyunkwan University,undefined,65.0
201-300,Swinburne University of Technology,undefined,90.9
201-300,Technical University of Denmark,undefined,72.6
201-300,Technion-Israel Institute of Technology,undefined,71.2
201-300,The University of Alabama - Tuscaloosa,undefined,85.8
201-300,The University of Auckland,undefined,81.1
201-300,The University of Hong Kong,undefined,77.8
201-300,The University of New Mexico - Albuquerque,undefined,76.7
201-300,The University of Texas at Dallas,undefined,75.7
201-300,The University of Western Australia,undefined,92.0
201-300,Tokyo Institute of Technology,undefined,64.2
201-300,Tufts University,undefined,88.4
201-300,UNESP,undefined,75.3
201-300,Universidade Federal do ABC (UFABC),undefined,80.8
201-300,University at Buffalo, the State University of New York,undefined,77.2
201-300,University of Alberta,undefined,73.6
201-300,University of Antwerp,undefined,80.2
201-300,University of Belgrade,undefined,70.9
201-300,University of Bergen,undefined,83.2
201-300,University of Bochum,undefined,64.2
201-300,University of Bordeaux,undefined,73.2
201-300,University of Campinas,undefined,72.9
201-300,University of Canterbury,undefined,82.6
201-300,University of Cape Town,undefined,80.2
201-300,University of Catania,undefined,81.0
201-300,University of Cincinnati,undefined,83.4
201-300,University of Cologne,undefined,67.2
201-300,University of Eastern Piedmont,undefined,81.5
201-300,University of Erlangen-Nuremberg,undefined,71.3
201-300,University of Florence,undefined,74.7
201-300,University of Freiburg,undefined,75.4
201-300,University of Giessen,undefined,75.3
201-300,University of Granada,undefined,91.2
201-300,University of Kansas,undefined,81.4
201-300,University of La Laguna,undefined,82.6
201-300,University of Malaya,undefined,71.0
201-300,University of Montreal,undefined,75.6
201-300,University of Nebraska - Lincoln,undefined,80.2
