1	Massachusetts Institute of Technology (MIT)	390.6	81.8
2	Princeton University	352.6	81.2
3	Stanford University	346.3	80.6
4	The University of Tokyo	342.3	74.7
5	California Institute of Technology	339.0	84.7
6	Harvard University	335.3	85.4
7	University of Chicago	334.8	82.1
8	University of California, Berkeley	334.1	83.4
9	Paris-Saclay University	321.5	86.6
10	PSL University	315.9	86.6
11	University of Cambridge	298.2	87.7
12	The University of Edinburgh	298.1	91.8
13	University of California, Santa Barbara	289.8	78.4
14	University of Colorado at Boulder	289.4	77.5
15	Sorbonne University	288.7	88.3
16	The University of Manchester	284.3	90.5
17	University of Washington	282.3	81.2
18	University of Geneva	277.2	93.9
19	Cornell University	271.6	79.1
20	University of Michigan-Ann Arbor	261.2	80.1
21	Columbia University	259.6	83.7
22	University of Maryland, College Park	258.4	80.1
23	University of Illinois at Urbana-Champaign	257.9	78.0
24	University of Oxford	257.2	89.3
25	Université libre de Bruxelles (ULB)	255.8	91.4
26	Tsinghua University	251.8	66.0
27	University of Paris	250.7	90.6
28	The Australian National University	246.5	90.9
29	University of Munich	244.8	87.7
30	University of Science and Technology of China	240.3	62.9
31	ETH Zurich	239.6	87.3
31	Sapienza University of Rome	239.6	89.6
33	Nagoya University	236.9	71.7
34	University of California, Irvine	236.5	82.4
35	Peking University	236.1	68.9
36	Johns Hopkins University	233.7	82.4
37	University of Padua	232.8	92.0
38	Imperial College London	232.0	86.2
39	Université Grenoble Alpes	230.8	86.2
40	Kyoto University	230.6	70.8
41	University of Pennsylvania	228.7	80.4
42	Institut Polytechnique de Paris	228.3	87.5
43	Heidelberg University	227.4	91.0
44	University College London	226.8	88.6
45	Uppsala University	225.0	92.0
46	The Chinese University of Hong Kong	224.6	78.1
47	Brown University	221.9	81.5
48	University of Pisa	221.6	90.5
49	The Ohio State University - Columbus	221.2	85.6
50	University of Bologna	220.0	93.3
51-75	Aix Marseille University		88.1
51-75	Autonomous University of Madrid		91.6
51-75	Claude Bernard University Lyon 1		87.4
51-75	Moscow State University		73.8
51-75	Northwestern University		77.3
51-75	Radboud University Nijmegen		93.7
51-75	Seoul National University		72.5
51-75	Shanghai Jiao Tong University		65.7
51-75	Swiss Federal Institute of Technology Lausanne		88.4
51-75	The University of Glasgow		91.6
51-75	The University of Texas at Austin		81.5
51-75	University of Birmingham		93.3
51-75	University of Bonn		91.5
51-75	University of California, Los Angeles		82.8
51-75	University of Copenhagen		94.2
51-75	University of Genoa		93.1
51-75	University of Hamburg		88.4
51-75	University of Mainz		91.3
51-75	University of Minnesota, Twin Cities		79.9
51-75	University of Naples Federico II		91.7
51-75	University of Roma - Tor Vergata		91.6
51-75	University of Toronto		87.3
51-75	University of Waterloo		80.1
51-75	University of Wisconsin - Madison		82.4
51-75	University of Zurich		93.0
51-75	Yale University		86.4
76-100	Monash University		89.1
76-100	Nanjing University		62.9
76-100	Pennsylvania State University - University Park		80.4
76-100	RWTH Aachen University		83.5
76-100	Scuola Normale Superiore - Pisa		92.0
76-100	Stockholm University		94.6
76-100	Tel Aviv University		86.1
76-100	The University of Melbourne		88.3
76-100	University of Amsterdam		93.0
76-100	University of Barcelona		90.5
76-100	University of Bristol		88.9
76-100	University of British Columbia		88.9
76-100	University of California, San Diego		79.4
76-100	University of Florida		84.1
76-100	University of Groningen		93.4
76-100	University of Massachusetts Amherst		87.5
76-100	University of Perugia		93.2
76-100	University of Southampton		88.8
76-100	University of Trento		92.0
76-100	University of Turin		93.2
76-100	University of Valencia		92.4
76-100	University of Warsaw		87.5
76-100	University of Warwick		90.9
76-100	Weizmann Institute of Science		90.1
101-150	Autonomous University of Barcelona		91.4
101-150	Boston University		85.5
101-150	Carnegie Mellon University		83.6
101-150	Charles University in Prague		90.2
101-150	Duke University		81.0
101-150	Eotvos Lorand University		91.8
101-150	Georgia Institute of Technology		76.7
101-150	Indiana University Bloomington		88.6
101-150	Karlsruhe Institute of Technology (KIT)		85.6
101-150	King's College London		87.9
101-150	KTH Royal Institute of Technology		91.8
101-150	Leiden University		94.3
101-150	Lund University		91.8
101-150	Michigan State University		83.2
101-150	Nanyang Technological University		85.8
101-150	National and Kapodistrian University of Athens		93.5
101-150	National University of Singapore		83.7
101-150	Novosibirsk State University		79.7
101-150	Purdue University - West Lafayette		76.8
101-150	Rice University		85.8
101-150	Rutgers, The State University of New Jersey - New Brunswick		84.6
101-150	Stony Brook University		84.4
101-150	Syracuse University		88.2
101-150	Technical University of Munich		85.7
101-150	Texas A&M University		84.4
101-150	The University of Adelaide		89.8
101-150	The University of Sheffield		86.1
101-150	TU Dresden		83.1
101-150	University College Dublin		96.6
101-150	University of Arizona		83.6
101-150	University of Bern		94.3
101-150	University of California, Davis		83.4
101-150	University of California, Riverside		85.5
101-150	University of California, Santa Cruz		89.2
101-150	University of Clermont Auvergne		95.1
101-150	University of Côte d'Azur		91.1
101-150	University of Innsbruck		93.8
101-150	University of Liverpool		93.4
101-150	University of Milan		89.3
101-150	University of Milano-Bicocca		91.5
101-150	University of Mississippi		93.2
101-150	University of Pittsburgh		85.0
101-150	University of Rochester		81.7
101-150	University of Sao Paulo		84.6
101-150	University of Savoy		92.1
101-150	University of Sussex		92.1
